Baseline: (shortest-paths with test set without permutation)
num_nodes_min_max = (8, 17)
# 09639, T 2821.4, Ltr 0.1142, Lge 0.0167, Ctr 1.0000, Str 1.0000, Cge 0.9975, Sge 0.9600
# 09708, T 2841.5, Ltr 0.1254, Lge 0.0409, Ctr 0.9987, Str 0.9688, Cge 0.9921, Sge 0.9200
# 09778, T 2861.6, Ltr 0.1723, Lge 0.0276, Ctr 0.9888, Str 0.8125, Cge 0.9956, Sge 0.9500
# 09848, T 2881.8, Ltr 0.1347, Lge 0.0252, Ctr 0.9952, Str 0.9062, Cge 0.9949, Sge 0.9500
# 09915, T 2901.8, Ltr 0.1798, Lge 0.0375, Ctr 0.9933, Str 0.8750, Cge 0.9932, Sge 0.9300
# 09985, T 2921.9, Ltr 0.1299, Lge 0.0054, Ctr 0.9957, Str 0.9062, Cge 0.9989, Sge 0.9900

######################################################################

Results of shortest_paths2:

# (iteration number), T (elapsed seconds), 
Ltr (training loss), Lge (test/generalization loss), 
Ctr (training fraction nodes/edges labeled correctly), 
Str (training fraction examples solved correctly), 
Cge (test/generalization fraction nodes/edges labeled correctly), 
Sge (test/generalization fraction examples solved correctly)
# 00000, T 16.0, Ltr 1.7390, Lge 1.3646, Ctr 0.5753, Str 0.0000, Cge 0.7055, Sge 0.0000
# 00001, T 22.9, Ltr 1.5567, Lge 1.2971, Ctr 0.6333, Str 0.0000, Cge 0.7222, Sge 0.0000
# 00002, T 30.0, Ltr 1.2189, Lge 0.9993, Ctr 0.8537, Str 0.0000, Cge 0.8943, Sge 0.0000
# 00003, T 39.8, Ltr 0.9315, Lge 0.7867, Ctr 0.9381, Str 0.0000, Cge 0.9381, Sge 0.0000
# 00004, T 47.3, Ltr 0.8781, Lge 0.8142, Ctr 0.9200, Str 0.0000, Cge 0.9067, Sge 0.0000
# 00005, T 54.9, Ltr 0.7317, Lge 0.6517, Ctr 0.9200, Str 0.0000, Cge 0.9200, Sge 0.0000
# 00006, T 62.8, Ltr 0.6619, Lge 0.6115, Ctr 0.9219, Str 0.0000, Cge 0.9219, Sge 0.0000
# 00007, T 70.9, Ltr 0.6799, Lge 0.6300, Ctr 0.8829, Str 0.0000, Cge 0.8919, Sge 0.0000
# 00008, T 79.2, Ltr 0.6604, Lge 0.6255, Ctr 0.9172, Str 0.0000, Cge 0.9172, Sge 0.0000
# 00009, T 90.6, Ltr 0.7650, Lge 0.7472, Ctr 0.8871, Str 0.0000, Cge 0.8871, Sge 0.0000
# 00010, T 99.3, Ltr 0.4902, Lge 0.4636, Ctr 0.9237, Str 0.0000, Cge 0.9407, Sge 0.0000
# 00011, T 108.4, Ltr 0.5624, Lge 0.5851, Ctr 0.9216, Str 0.0000, Cge 0.9216, Sge 0.0000
# 00012, T 117.6, Ltr 0.5212, Lge 0.4948, Ctr 0.9263, Str 0.0000, Cge 0.9263, Sge 0.0000
# 00013, T 127.1, Ltr 0.4394, Lge 0.4136, Ctr 0.9362, Str 0.0000, Cge 0.9362, Sge 0.0000
# 00014, T 136.7, Ltr 0.4116, Lge 0.3851, Ctr 0.9474, Str 0.0000, Cge 0.9474, Sge 0.0000
# 00015, T 146.8, Ltr 0.3360, Lge 0.3000, Ctr 0.9677, Str 0.0000, Cge 0.9758, Sge 0.0000
# 00016, T 160.8, Ltr 0.3152, Lge 0.2765, Ctr 0.9639, Str 0.0000, Cge 0.9639, Sge 0.0000
# 00017, T 171.3, Ltr 0.3773, Lge 0.3632, Ctr 0.9496, Str 0.0000, Cge 0.9496, Sge 0.0000
# 00018, T 181.9, Ltr 0.5163, Lge 0.4743, Ctr 0.8860, Str 0.0000, Cge 0.8860, Sge 0.0000
# 00019, T 192.7, Ltr 0.2858, Lge 0.2476, Ctr 0.9623, Str 0.0000, Cge 0.9623, Sge 0.0000
# 00020, T 203.8, Ltr 0.3339, Lge 0.2969, Ctr 0.9406, Str 0.0000, Cge 0.9406, Sge 0.0000
# 00021, T 215.1, Ltr 0.2753, Lge 0.2459, Ctr 0.9550, Str 0.0000, Cge 0.9550, Sge 0.0000
# 00022, T 227.2, Ltr 0.3176, Lge 0.2925, Ctr 0.9388, Str 0.0000, Cge 0.9388, Sge 0.0000
# 00023, T 239.0, Ltr 0.3591, Lge 0.3236, Ctr 0.9091, Str 0.0000, Cge 0.9091, Sge 0.0000
# 00024, T 251.1, Ltr 0.2415, Lge 0.2145, Ctr 0.9630, Str 0.0000, Cge 0.9630, Sge 0.0000
# 00025, T 267.5, Ltr 0.1735, Lge 0.1520, Ctr 0.9843, Str 0.0000, Cge 0.9843, Sge 0.0000
# 00026, T 280.2, Ltr 0.3849, Lge 0.3487, Ctr 0.8889, Str 0.0000, Cge 0.8889, Sge 0.0000
# 00027, T 293.2, Ltr 0.3810, Lge 0.3477, Ctr 0.8864, Str 0.0000, Cge 0.8864, Sge 0.0000
# 00028, T 306.4, Ltr 0.1732, Lge 0.1558, Ctr 0.9744, Str 0.0000, Cge 0.9744, Sge 0.0000
# 00029, T 319.9, Ltr 0.2443, Lge 0.2160, Ctr 0.9365, Str 0.0000, Cge 0.9365, Sge 0.0000
# 00030, T 333.7, Ltr 0.2625, Lge 0.2327, Ctr 0.9252, Str 0.0000, Cge 0.9252, Sge 0.0000
# 00031, T 347.7, Ltr 0.2220, Lge 0.1977, Ctr 0.9397, Str 0.0000, Cge 0.9397, Sge 0.0000
# 00032, T 362.1, Ltr 0.2268, Lge 0.2008, Ctr 0.9351, Str 0.0000, Cge 0.9351, Sge 0.0000
# 00033, T 376.9, Ltr 0.2628, Lge 0.2356, Ctr 0.9083, Str 0.0000, Cge 0.9083, Sge 0.0000
# 00034, T 392.1, Ltr 0.2147, Lge 0.1943, Ctr 0.9394, Str 0.0000, Cge 0.9394, Sge 0.0000
# 00035, T 407.7, Ltr 0.1669, Lge 0.1471, Ctr 0.9559, Str 0.0000, Cge 0.9706, Sge 0.0000
# 00036, T 428.3, Ltr 0.1976, Lge 0.1758, Ctr 0.9328, Str 0.0000, Cge 0.9748, Sge 0.5000
# 00037, T 444.4, Ltr 0.1542, Lge 0.1388, Ctr 0.9775, Str 0.5000, Cge 0.9888, Sge 0.5000
# 00038, T 461.2, Ltr 0.2266, Lge 0.1942, Ctr 0.9806, Str 0.5000, Cge 0.9806, Sge 0.5000
# 00039, T 478.6, Ltr 0.2048, Lge 0.1741, Ctr 0.9902, Str 0.5000, Cge 1.0000, Sge 1.0000
# 00040, T 496.0, Ltr 0.1582, Lge 0.1335, Ctr 1.0000, Str 1.0000, Cge 1.0000, Sge 1.0000
# 00041, T 513.6, Ltr 0.1857, Lge 0.1544, Ctr 1.0000, Str 1.0000, Cge 1.0000, Sge 1.0000
